Artist,Title,YouTubeLink,Option1,Option2,Option3,Option4,Option5
Steve Miller Band,The Joker,https://www.youtube.com/watch?v=dV3AziKTBUo,Abracadabra,The Stake,Living in the U.S.A,The Joker,Jet Airliner
Steve Miller Band,The Stake,https://www.youtube.com/watch?v=EFOjLc6vjas,Abracadabra,The Stake,Living in the U.S.A,The Joker,Jet Airliner
Gnarls Barkley,Crazy,https://www.youtube.com/watch?v=-N4jf6rtyuw,Crazy,I Remember When I Lost My Mind,Just a Thought,Going On,Run
Michael Jackson,Billie Jean,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,Billie Jean,Bad,Smooth Criminal,Going On,Thriller
Michael Jackson,Smooth Criminal,https://youtu.be/h_D3VFfhvs4?si=_3sPLqWqhFOIhQ9G&t=66,Billie Jean,Bad,Smooth Criminal,Going On,Thriller
Dead Boys,Sonic Reducer,https://www.youtube.com/watch?v=-3YbedLa5I0,Ain't It Fun,Sonic Reducer,Son of Sam,Not Anymore,High Tension Wire
Dead Boys,High Tension Wire,https://www.youtube.com/watch?v=M-A5Gu_2_Bs,Ain't It Fun,All This and More,Sonic Reducer,Not Anymore,High Tension Wire
Dead Boys,Ain't It Fun,https://www.youtube.com/watch?v=0oaXNXw_Gaw,Ain't It Fun,All This and More,Son of Sam,Sonic Reducer,High Tension Wire
Sex Pistols,Bodies,https://youtu.be/vxkQXK0kRd0?si=UDc-_zp_NAglue1Q&t=68,Bodies,Anarchy In The U.K,Submission,Seventeen,God Save The Queen
Sex Pistols,God Save The Queen,https://www.youtube.com/watch?v=yqrAPOZxgzU,Bodies,Anarchy In The U.K,Submission,Seventeen,God Save The Queen
Sex Pistols,Seventeen,https://www.youtube.com/watch?v=eicHCvy486s,Bodies,Anarchy In The U.K,Submission,Seventeen,God Save The Queen
Bob Marley & The Wailers,Jamming,https://www.youtube.com/watch?v=oqVy6eRXc7Q,Jamming,Is This Love,Three Little Birds,Waiting In Vain,Redemption Song
Bob Marley & The Wailers,Redemption Song,https://www.youtube.com/watch?v=yv5xonFSC4c,Jamming,Is This Love,Three Little Birds,Waiting In Vain,Redemption Song
Bob Marley & The Wailers,Three Little Birds,https://www.youtube.com/watch?v=HNBCVM4KbUM,Jamming,Is This Love,Three Little Birds,Waiting In Vain,Redemption Song
ABBA,Dancing Queen,https://www.youtube.com/watch?v=xFrGuyw1V8s,Mamma Mia,Waterloo,Take a Chance on Me,Fernando,Dancing Queen
Nirvana,Smells Like Teen Spirit,https://www.youtube.com/watch?v=hTWKbfoikeg,Come As You Are,Lithium,In Bloom,Heart-Shaped Box,Smells Like Teen Spirit
Eminem,Lose Yourself,https://www.youtube.com/watch?v=xFYQQPAOz7Y,Stan,The Real Slim Shady,Without Me,Not Afraid,Lose Yourself
Taylor Swift,Shake It Off,https://www.youtube.com/watch?v=nfWlot6h_JM,Blank Space,Love Story,You Belong With Me,Bad Blood,Shake It Off
Ed Sheeran,Shape of You,https://www.youtube.com/watch?v=JGwWNGJdvx8&t=1,Perfect,Thinking Out Loud,Castle on the Hill,Photograph,Shape of You
Beyoncé,Crazy in Love,https://www.youtube.com/watch?v=ViwtNLUqkMY,Single Ladies (Put a Ring on It),Halo,Formation,Irreplaceable,Crazy in Love
Coldplay,Yellow,https://www.youtube.com/watch?v=yKNxeF4KMsY&t=1,Clocks,The Scientist,Viva La Vida,Fix You,Yellow
U2,With or Without You,https://www.youtube.com/watch?v=ujNeHIo7oTE,Beautiful Day,One,Sunday Bloody Sunday,Where the Streets Have No Name,With or Without You
Red Hot Chili Peppers,Californication,https://www.youtube.com/watch?v=YlUKcNNmywk&t=2,Under the Bridge,Snow (Hey Oh),Otherside,Can't Stop,Californication
Guns N' Roses,Sweet Child O' Mine,https://www.youtube.com/watch?v=1w7OgIMMRc4,November Rain,Welcome to the Jungle,Paradise City,Don't Cry,Sweet Child O' Mine
Metallica,Enter Sandman,https://www.youtube.com/watch?v=CD-E-LDc384,Nothing Else Matters,Master of Puppets,One,Sad But True,Enter Sandman
Pink Floyd,"Another Brick in the Wall, Pt. 2",https://www.youtube.com/watch?v=HrxX9TBj2zY,Wish You Were Here,Comfortably Numb,Money,Time,"Another Brick in the Wall, Pt. 2"
The Rolling Stones,(I Can't Get No) Satisfaction,https://www.youtube.com/watch?v=nrIPxlFzDi0,Paint It Black,Start Me Up,Gimme Shelter,Angie,(I Can't Get No) Satisfaction
Bob Marley & The Wailers,"No Woman, No Cry",https://www.youtube.com/watch?v=mZ6VezKMoRY,Three Little Birds,Redemption Song,Is This Love,Jamming,"No Woman, No Cry"
Elton John,Rocket Man,https://www.youtube.com/watch?v=DtVBCG6ThDk&t=2,Tiny Dancer,Your Song,I'm Still Standing,Bennie and the Jets,Rocket Man
Stevie Wonder,Superstition,https://www.youtube.com/watch?v=0CFuCYNx-1g,I Just Called to Say I Love You,"Signed, Sealed, Delivered I'm Yours",Sir Duke,Isn't She Lovely,Superstition
Aretha Franklin,Respect,https://www.youtube.com/watch?v=A134hShx_gw,Think,(You Make Me Feel Like) A Natural Woman,I Say a Little Prayer,Chain of Fools,Respect
Madonna,Like a Prayer,https://www.youtube.com/watch?v=79fzeNUqQbQ&t=11,Vogue,Material Girl,Like a Virgin,Hung Up,Like a Prayer
Prince,Purple Rain,https://youtu.be/TvnYmWpD_T8?si=188MkocnmVvhbR2a&t=69,When Doves Cry,Kiss,1999,Little Red Corvette,Purple Rain
David Bowie,Heroes,https://www.youtube.com/watch?v=lXgkuM2NhYI,Space Oddity,Starman,Let's Dance,Ziggy Stardust,Heroes
The Clash,London Calling,https://youtu.be/EfK-WX2pa8c?si=vG2q2JsBQMeaiH0-&t=3,Should I Stay or Should I Go,Rock the Casbah,Train in Vain,White Riot,London Calling
Oasis,Wonderwall,https://youtu.be/6hzrDeceEKc?si=PXVx6HUWctDo5uUu&t=16,Don't Look Back in Anger,Champagne Supernova,Live Forever,Supersonic,Wonderwall
Radiohead,Creep,https://www.youtube.com/watch?v=XFkzRNyygfk,Karma Police,Paranoid Android,No Surprises,High and Dry,Creep
Green Day,American Idiot,https://www.youtube.com/watch?v=Ee_uujKuJMI,Basket Case,Boulevard of Broken Dreams,Wake Me Up When September Ends,Good Riddance (Time of Your Life),American Idiot
Foo Fighters,Everlong,https://www.youtube.com/watch?v=eBG7P-K-r1Y,The Pretender,Best of You,Learn to Fly,My Hero,Everlong
Britney Spears,...Baby One More Time,https://youtu.be/C-u5WLJ9Yk4?si=wrwTqPD7NorlUs1q&t=16,Oops!...I Did It Again,Toxic,Womanizer,Gimme More,...Baby One More Time
Lady Gaga,Bad Romance,https://www.youtube.com/watch?v=qrO4YZeyl0I,Poker Face,Shallow,Born This Way,Just Dance,Bad Romance
Adele,Hello,https://youtu.be/YQHsXMglC9A?si=wnkjeSB-ifu60nLL&t=75,Someone Like You,Rolling in the Deep,Set Fire to the Rain,Skyfall,Hello
Arctic Monkeys,Do I Wanna Know?,https://www.youtube.com/watch?v=bpOSxM0rNPM,R U Mine?,I Bet You Look Good on the Dancefloor,Fluorescent Adolescent,Why'd You Only Call Me When You're High?,Do I Wanna Know?
Florence + The Machine,Dog Days Are Over,https://www.youtube.com/watch?v=iWOyfLBYtuU,Shake It Out,You've Got the Love,Spectrum,Ship to Wreck,Dog Days Are Over
Mumford & Sons,I Will Wait,https://youtu.be/rGKfrgqWcv0?si=H-w8s9Nv9XQv62GA&t=12,Little Lion Man,The Cave,Hopeless Wanderer,Believe,I Will Wait
Imagine Dragons,Radioactive,https://youtu.be/ktvTqknDobU?si=F9D_s6Ovam2ZP6oP&t=5,Demons,Believer,Thunder,Whatever It Takes,Radioactive
The Killers,Mr. Brightside,https://www.youtube.com/watch?v=gGdGFtwCNBE,Somebody Told Me,When You Were Young,Human,Read My Mind,Mr. Brightside
Kings of Leon,Sex on Fire,https://youtu.be/RF0HhrwIwp0?si=b3u4LUYuBDidA-BV&t=3,Use Somebody,Closer,Supersoaker,Waste a Moment,Sex on Fire
Muse,Uprising,https://www.youtube.com/watch?v=w8KQmps-Sog,Starlight,Supermassive Black Hole,Knights of Cydonia,Hysteria,Uprising
System Of A Down,B.Y.O.B.,https://www.youtube.com/watch?v=zUzd9KyIDrM,Chop Suey!,Toxicity,Aerials,Lonely Day,B.Y.O.B.
Korn,Freak on a Leash,https://www.youtube.com/watch?v=jRGrNDV2mKc,Blind,Coming Undone,Got the Life,Falling Away from Me,Freak on a Leash
Slipknot,Duality,https://www.youtube.com/watch?v=6fVE8kSM43I,Psychosocial,Before I Forget,Wait and Bleed,Psychosocial,Duality
Rage Against The Machine,Killing In The Name,https://www.youtube.com/watch?v=bWXazVhlyxQ,Bulls on Parade,Guerrilla Radio,Testify,Sleep Now in the Fire,Killing In The Name
Soundgarden,Black Hole Sun,https://www.youtube.com/watch?v=3mbBbFH9fAg,Spoonman,Fell on Black Days,Outshined,Rusty Cage,Black Hole Sun
Pearl Jam,Jeremy,https://youtu.be/MS91knuzoOA?si=4xbHHAuzGYUErJR6&t=15,Alive,Even Flow,Black,Daughter,Jeremy
Alice In Chains,Man in the Box,https://www.youtube.com/watch?v=TAqZb52sgpU,Rooster,Would?,Them Bones,Down in a Hole,Man in the Box
Tool,Sober,https://www.youtube.com/watch?v=nspxAG12Cpc,Schism,Forty Six & 2,Stinkfist,Ænema,Sober
Deftones,Change (In the House of Flies),https://www.youtube.com/watch?v=WPpDyIJdasg,My Own Summer (Shove It),Be Quiet and Drive (Far Away),Digital Bath,Minerva,Change (In the House of Flies)
Incubus,Drive,https://www.youtube.com/watch?v=fgT9zGkiLig,Wish You Were Here,Pardon Me,Stellar,Megalomaniac,Drive
Blink-182,All The Small Things,https://www.youtube.com/watch?v=9Ht5RZpzPqw,What's My Age Again?,I Miss You,Adam's Song,The Rock Show,All The Small Things
My Chemical Romance,Welcome to the Black Parade,https://www.youtube.com/watch?v=RRKJiM9Njr8,Helena,Teenagers,I'm Not Okay (I Promise),Famous Last Words,Welcome to the Black Parade
Fall Out Boy,"Sugar, We're Goin Down",https://www.youtube.com/watch?v=_KZSVAwqBpc,Thnks fr th Mmrs,"Dance, Dance",Centuries,My Songs Know What You Did in the Dark (Light Em Up),"Sugar, We're Goin Down"
Panic! At The Disco,I Write Sins Not Tragedies,https://www.youtube.com/watch?v=vc6vs-l5dkc,High Hopes,Nine in the Afternoon,Victorious,Death of a Bachelor,I Write Sins Not Tragedies
Paramore,Misery Business,https://www.youtube.com/watch?v=aCyGvGEtOwc,The Only Exception,Ain't It Fun,Still Into You,Decode,Misery Business
Fleetwood Mac,Dreams,https://www.youtube.com/watch?v=Y3ywicffOj4,Go Your Own Way,The Chain,Landslide,Rhiannon,Dreams
Eagles,Hotel California,https://www.youtube.com/watch?v=dLl4PZtxia8,Take It Easy,Lyin' Eyes,Life in the Fast Lane,Desperado,Hotel California
Journey,Don't Stop Believin',https://www.youtube.com/watch?v=VcjzHMhBtf0,Any Way You Want It,Separate Ways (Worlds Apart),Faithfully,Open Arms,Don't Stop Believin'
Boston,More Than a Feeling,https://www.youtube.com/watch?v=t4QK8RxCAwo,Peace of Mind,Foreplay/Long Time,Don't Look Back,Amanda,More Than a Feeling
Foreigner,I Want to Know What Love Is,https://www.youtube.com/watch?v=r3Pr1_v7hsw,Cold as Ice,Juke Box Hero,Waiting for a Girl Like You,Hot Blooded,I Want to Know What Love Is
REO Speedwagon,Can't Fight This Feeling,https://www.youtube.com/watch?v=zpOULjyy-n8,Keep On Loving You,Take It on the Run,Time for Me to Fly,Roll With the Changes,Can't Fight This Feeling
Styx,Come Sail Away,https://www.youtube.com/watch?v=e5MAg_yWsq8,Mr. Roboto,Renegade,Lady,Babe,Come Sail Away
Kansas,Carry On Wayward Son,https://youtu.be/P5ZJui3aPoQ?si=Kx4mgM1qWL8Hj4Ye&t=16,Dust in the Wind,Point of Know Return,Play the Game Tonight,Song for America,Carry On Wayward Son
Toto,Africa,https://www.youtube.com/watch?v=FTQbiNvZqaY&t=3s,Rosanna,Hold the Line,I'll Be Over You,Georgy Porgy,Africa
Dire Straits,Sultans of Swing,https://www.youtube.com/watch?v=h0ffIJ7ZO4U,Money for Nothing,Walk of Life,Romeo and Juliet,Brothers in Arms,Sultans of Swing
The Cars,Drive,https://www.youtube.com/watch?v=xuZA6qiJVfU&t=2s,Just What I Needed,Shake It Up,You Might Think,My Best Friend's Girl,Drive
The Cure,Friday I'm in Love,https://www.youtube.com/watch?v=mGgMZpGYiy8&t=3s,Lovesong,Just Like Heaven,Boys Don't Cry,Pictures of You,Friday I'm in Love
Depeche Mode,Enjoy the Silence,https://www.youtube.com/watch?v=aGSKrC7dGcY,Personal Jesus,Just Can't Get Enough,Policy of Truth,Strangelove,Enjoy the Silence
New Order,Blue Monday,https://www.youtube.com/watch?v=c1GxjzHm5us,Bizarre Love Triangle,True Faith,Regret,Temptation,Blue Monday
Joy Division,Love Will Tear Us Apart,https://www.youtube.com/watch?v=zuuObGsB0No,Disorder,Transmission,Atmosphere,She's Lost Control,Love Will Tear Us Apart
The Smiths,There Is a Light That Never Goes Out,https://www.youtube.com/watch?v=3r-qDvD3F3c,This Charming Man,How Soon Is Now?,Heaven Knows I'm Miserable Now,Bigmouth Strikes Again,There Is a Light That Never Goes Out
Tears for Fears,Everybody Wants to Rule the World,https://www.youtube.com/watch?v=aGCdLKXNF3w&t=34s,Shout,Head Over Heels,Mad World,Sowing the Seeds of Love,Everybody Wants to Rule the World
Johnny Cash,Ring of Fire,https://www.youtube.com/watch?v=1WaV2x8GXj0,Ring of Fire,I Walk the Line,Folsom Prison Blues,A Boy Named Sue,Hurt
Dolly Parton,Jolene,https://www.youtube.com/watch?v=Ixrje2rXLMA,9 to 5,I Will Always Love You,Coat of Many Colors,Islands in the Stream,Jolene
Willie Nelson,On the Road Again,https://www.youtube.com/watch?v=dBN86y30Ufc,Always on My Mind,Blue Eyes Crying in the Rain,Mammas Don't Let Your Babies Grow Up to Be Cowboys,Pancho and Lefty,On the Road Again
James Brown,I Got You (I Feel Good),https://www.youtube.com/watch?v=pTdihu-mp90,Papa's Got a Brand New Bag,Sex Machine,Get Up (I Feel Like Being a) Sex Machine,The Payback,I Got You (I Feel Good)
Chuck Berry,Johnny B. Goode,https://www.youtube.com/watch?v=aKCt8ssC7cs,Maybellene,Roll Over Beethoven,Rock and Roll Music,Sweet Little Sixteen,Johnny B. Goode
Little Richard,Tutti Frutti,https://www.youtube.com/watch?v=Cj059o9OwqY&t=11s,Long Tall Sally,"Good Golly, Miss Molly",Lucille,Rip It Up,Tutti Frutti
Buddy Holly,Peggy Sue,https://www.youtube.com/watch?v=_qQzuvfvBdE&t=3s,That'll Be the Day,Oh Boy!,Rave On,Everyday,Peggy Sue
Jimi Hendrix,Purple Haze,https://www.youtube.com/watch?v=WGoDaYjdfSg,All Along the Watchtower,Hey Joe,Voodoo Child (Slight Return),Foxy Lady,Purple Haze
Creedence Clearwater Revival,Fortunate Son,https://www.youtube.com/watch?v=ZWijx_AgPiA,Bad Moon Rising,Have You Ever Seen the Rain?,Proud Mary,Down on the Corner,Fortunate Son
Lynyrd Skynyrd,Sweet Home Alabama,https://www.youtube.com/watch?v=-p8GXZcdrIk&t=3s,Free Bird,Simple Man,Tuesday's Gone,Gimme Three Steps,Sweet Home Alabama
ZZ Top,La Grange,https://www.youtube.com/watch?v=Vppbdf-qtGU,Sharp Dressed Man,Gimme All Your Lovin',Tush,Legs,La Grange
Aerosmith,Dream On,https://www.youtube.com/watch?v=89dGC8de0CA,I Don't Want to Miss a Thing,Walk This Way,Sweet Emotion,Crazy,Dream On
Van Halen,Jump,https://www.youtube.com/watch?v=SwYN7mTi6HM,Panama,Runnin' with the Devil,Hot for Teacher,Eruption,Jump
Skid Row,18 and Life,https://www.youtube.com/watch?v=Ghd2bkIadG4,Youth Gone Wild,I Remember You,Monkey Business,Slave to the Grind,18 and Life
Iron Maiden,The Trooper,https://www.youtube.com/watch?v=X4bgXH3sJ2Q,Run to the Hills,Fear of the Dark,Hallowed Be Thy Name,2 Minutes to Midnight,The Trooper
Judas Priest,Breaking the Law,https://youtu.be/L397TWLwrUU?si=dkI_YSlHl1Zn3t-7&t=3,Living After Midnight,You've Got Another Thing Comin',Painkiller,Electric Eye,Breaking the Law
Black Sabbath,Paranoid,https://www.youtube.com/watch?v=0qanF-91aJo,Iron Man,War Pigs,N.I.B.,Children of the Grave,Paranoid
Deep Purple,Smoke on the Water,https://www.youtube.com/watch?v=Q2FzZSBD5LE&t=5s,Highway Star,Child in Time,Perfect Strangers,Hush,Smoke on the Water
The Kinks,You Really Got Me,https://www.youtube.com/watch?v=fTTsY-oz6Go,Lola,All Day and All of the Night,Waterloo Sunset,Sunny Afternoon,You Really Got Me
The Who,My Generation,https://www.youtube.com/watch?v=qN5zw04WxCc,Won't Get Fooled Again,Pinball Wizard,Behind Blue Eyes,My Generation,Baba O'riley
